TRGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,WGT_TYPE,TRGT_FUND_WGT
2602,1/1/2009,9/9/2009,2024,"MODEL",0.0799
2603,1/1/2009,9/9/2009,2024,"MODEL",0.092
2604,1/1/2009,9/9/2009,2024,"MODEL",0.1
2605,1/1/2009,9/9/2009,2024,"MODEL",0.105
2606,1/1/2009,9/9/2009,2024,"MODEL",0.091
2607,1/1/2009,9/9/2009,2024,"MODEL",0.064
2608,1/1/2009,9/9/2009,2024,"MODEL",0.028
2609,1/1/2009,9/9/2009,2024,"MODEL",0.028
2600,1/1/2009,9/9/2009,2025,"MODEL",0.141
2601,1/1/2009,9/9/2009,2025,"MODEL",0.1128
2602,1/1/2009,9/9/2009,2025,"MODEL",0.094
2603,1/1/2009,9/9/2009,2025,"MODEL",0.0782
2604,1/1/2009,9/9/2009,2025,"MODEL",0.048
2605,1/1/2009,9/9/2009,2025,"MODEL",0.028
2606,1/1/2009,9/9/2009,2025,"MODEL",0.013
2607,1/1/2009,9/9/2009,2025,"MODEL",0
2608,1/1/2009,9/9/2009,2025,"MODEL",0
2609,1/1/2009,9/9/2009,2025,"MODEL",0
2600,1/1/2009,9/9/2009,2029,"MODEL",0
2601,1/1/2009,9/9/2009,2029,"MODEL",0.02
2602,1/1/2009,9/9/2009,2029,"MODEL",0.03
2603,1/1/2009,9/9/2009,2029,"MODEL",0.04
2604,1/1/2009,9/9/2009,2029,"MODEL",0.05
2605,1/1/2009,9/9/2009,2029,"MODEL",0.05
2606,1/1/2009,9/9/2009,2029,"MODEL",0.04
2607,1/1/2009,9/9/2009,2029,"MODEL",0.04
2608,1/1/2009,9/9/2009,2029,"MODEL",0.03
2609,1/1/2009,9/9/2009,2029,"MODEL",0.03
2600,1/1/2009,12/31/2009,2010,"FIRM",0.0104
2601,1/1/2009,12/31/2009,2010,"FIRM",0.0156
2602,1/1/2009,12/31/2009,2010,"FIRM",0.0182
2603,1/1/2009,12/31/2009,2010,"FIRM",0.0208
2604,1/1/2009,12/31/2009,2010,"FIRM",0.026
2605,1/1/2009,12/31/2009,2010,"FIRM",0.0312
2606,1/1/2009,12/31/2009,2010,"FIRM",0.0364
2607,1/1/2009,12/31/2009,2010,"FIRM",0.0416
2608,1/1/2009,12/31/2009,2010,"FIRM",0.0468
2609,1/1/2009,12/31/2009,2010,"FIRM",0.0468
